Term,Year,Hgt,Wgt,Smoke,Hand,Sibs,Birth,Exercise,Greek,TV,GPA,Award,Pulse,Pierces,Gender,Sport,Tattoo,Facebook
S07,1,73inches,215 pounds,No,l,2,3,20,No,12,3.4,Olympic,96,0,M,NA,NA,NA
S07,1,70inches,175 pounds,No,r,NA,2,21,No,2,2.8,Olympic,84,0,M,NA,NA,NA
S07,1,59inches,125 pounds,No,r,1,1,5,No,3,3.2,Nobel,88,2,F,NA,NA,NA
S07,1,63inches,140 pounds,No,r,3,2,10,No,2,2.8,Olympic,68,4,F,NA,NA,NA
S07,1,67inches,125 pounds,Occasionally,r,2,1,4,Planning,3,2.5,Academy,80,3,F,NA,NA,NA
S07,1,68inches,135 pounds,Occasionally,r,1,1,11,No,6,3.3,Nobel,84,0,M,NA,NA,NA
S07,1,66inches,146 pounds,No,r,1,2,10,No,4,3.25,Nobel,52,5,F,NA,NA,NA
S07,2,62inches,105 pounds,No,r,3,1,NA,Yes,1,NA,Nobel,95,5,F,NA,NA,NA
S07,4,65inches,140 pounds,No,r,3,3,6,No,15,3,Nobel,88,0,M,NA,NA,NA
S07,2,70inches,185 pounds,No,r,2,1,9,Yes,0,3.2,Nobel,96,0,M,NA,NA,NA
S07,4,67inches,150 pounds,No,r,2,2,20,No,0,3.67,Nobel,40,3,F,NA,NA,NA
S07,1,67inches,130 pounds,No,r,1,1,1.5,No,20,3.5,Olympic,80,2,F,NA,NA,NA
S07,2,72inches,165 pounds,No,r,1,1,5,Yes,10,3.14,Nobel,76,7,F,NA,NA,NA
S07,2,78inches,210 pounds,No,r,6,5,3,No,3,3.4,Nobel,70,0,M,NA,NA,NA
S07,2,73inches,185 pounds,No,l,2,1,4,Yes,8,2.5,Nobel,80,0,M,NA,NA,NA
S07,2,66inches,155 pounds,No,r,1,1,8,No,2,2.8,Olympic,64,0,M,NA,NA,NA
S07,3,67inches,155 pounds,Occasionally,r,2,1,17,No,2,2.83,Nobel,96,6,F,NA,NA,NA
S07,2,71inches,188 pounds,No,r,3,1,3,Yes,15,2.2,Olympic,66,0,M,NA,NA,NA
S07,1,72inches,183 pounds,No,r,2,2,8,No,2,3.02,Olympic,68,0,M,NA,NA,NA
S07,1,65inches,140 pounds,No,r,1,1,5,No,NA,3.58,Olympic,64,0,F,NA,NA,NA
S07,2,70inches,145 pounds,No,r,0,1,2,Yes,5,3,Olympic,80,2,F,NA,NA,NA
S07,2,67inches,140 pounds,No,r,1,2,3,No,5,3.22,Nobel,72,2,F,NA,NA,NA
S07,1,64inches,145 pounds,No,r,1,2,5,No,4,2.5,Olympic,55,3,F,NA,NA,NA
S07,1,63inches,99 pounds,No,r,2,1,3,No,15,3,Olympic,88,4,F,NA,NA,NA
S07,2,73inches,188 pounds,No,r,1,1,4,No,27,3.4,Olympic,80,0,M,NA,NA,NA
S07,1,72inches,153 pounds,No,r,2,3,14,No,2,2.85,Olympic,64,0,M,NA,NA,NA
S07,1,65inches,160 pounds,No,r,1,1,3,No,2,3.83,Nobel,72,3,F,NA,NA,NA
S07,2,65inches,155 pounds,No,l,1,1,5,No,5,3.4,Olympic,93,2,F,NA,NA,NA
S07,2,59inches,115 pounds,No,r,1,2,5,No,2,3.3,Nobel,68,0,F,NA,NA,NA
S07,2,80inches,150 pounds,No,l,4,1,12,Yes,2,3.15,Olympic,68,2,F,NA,NA,NA
S07,2,69inches,171 pounds,No,r,1,1,21,No,25,2.7,Olympic,84,0,M,NA,NA,NA
S07,3,75inches,175 pounds,No,r,0,1,18,No,20,2.93,Olympic,74,0,M,NA,NA,NA
S07,3,72inches,175 pounds,No,r,2,1,15,No,0,3.6,Olympic,68,1,M,NA,NA,NA
S07,2,78inches,200 pounds,No,r,1,1,15,No,2,3.5,Nobel,68,0,M,NA,NA,NA
S07,2,71inches,170 pounds,No,r,1,1,5,No,1,3.3,Nobel,70,0,M,NA,NA,NA
S07,4,66inches,170 pounds,No,r,1,2,6,No,2,3.05,Nobel,65,0,M,NA,NA,NA
S07,2,54inches,140 pounds,No,r,2,2,7,No,2,2.5,Nobel,56,4,F,NA,NA,NA
S07,2,70inches,183 pounds,No,r,3,2,8,No,10,2.2,Olympic,84,4,M,NA,NA,NA
S07,1,75inches,230 pounds,No,r,2,1,8,No,13,2.9,Olympic,65,0,M,NA,NA,NA
S07,1,68inches,165 pounds,Regular,r,1,1,12,No,20,2.5,Olympic,65,0,M,NA,NA,NA
S07,1,72inches,165 pounds,Occasionally,r,2,1,6,No,25,2.83,Olympic,75,0,M,NA,NA,NA
S07,1,66inches,128 pounds,No,r,1,1,3,Planning,2,3.72,Olympic,75,2,F,NA,NA,NA
S07,2,70inches,150 pounds,No,r,1,1,10,No,4,3.7,Nobel,74,0,M,NA,NA,NA
S07,1,66inches,127 pounds,No,r,1,1,14,No,5,2.8,Olympic,64,6,F,NA,NA,NA
S07,3,71inches,180 pounds,No,r,1,2,10,No,15,3.4,Olympic,54,0,M,NA,NA,NA
S07,1,60inches,115 pounds,No,r,7,8,12,Planning,1,3.7,Nobel,94,2,F,NA,NA,NA
S07,2,63inches,120 pounds,No,r,2,1,6,No,1,3,Nobel,58,3,F,NA,NA,NA
S07,1,63inches,145 pounds,No,l,5,1,12,No,10,NA,Academy,85,9,F,NA,NA,NA
S07,1,74inches,175 pounds,Occasionally,r,9,9,5,No,10,2.75,Academy,66,0,M,NA,NA,NA
S07,2,62inches,120 pounds,No,r,1,1,2,No,1,3.35,Nobel,64,2,F,NA,NA,NA
S07,1,72inches,220 pounds,No,r,3,4,18,No,3,3.13,Olympic,71,2,F,NA,NA,NA
S07,1,71inches,207 pounds,No,r,0,1,8,No,10,2.2,Olympic,72,1,M,NA,NA,NA
S07,1,66inches,150 pounds,No,r,1,1,14,No,4,2.72,Olympic,56,0,M,NA,NA,NA
S07,4,62inches,155 pounds,No,l,1,1,10,Yes,2,3.1,Nobel,78,2,F,NA,NA,NA
S07,3,64inches,134 pounds,No,r,1,2,12,No,0,3.89,Nobel,55,2,F,NA,NA,NA
S07,1,65inches,135 pounds,No,r,2,3,3,No,1,3.6,Nobel,68,2,F,NA,NA,NA
S07,2,65inches,140 pounds,No,r,3,4,10,No,3,3.3,Olympic,73,5,F,NA,NA,NA
S07,1,71inches,160 pounds,No,r,2,1,5,No,20,3.31,Academy,71,0,M,NA,NA,NA
S07,NA,70inches,140 pounds,No,l,1,2,15,No,10,NA,Olympic,51,0,M,NA,NA,NA
S07,1,70inches,180 pounds,No,r,2,3,10,No,7,2.4,Olympic,54,0,M,NA,NA,NA
S07,2,67inches,145 pounds,No,r,1,2,15,No,5,3.4,Nobel,60,5,F,NA,NA,NA
S07,2,69inches,175 pounds,Occasionally,r,2,1,6,No,6,3.35,Olympic,50,0,M,NA,NA,NA
S07,3,68inches,135 pounds,No,l,2,3,6,No,1,3.08,Nobel,66,4,F,NA,NA,NA
S07,3,65inches,140 pounds,No,r,2,3,8,Yes,6,3.8,Nobel,84,2,F,NA,NA,NA
S07,1,65inches,160 pounds,No,r,1,2,3,No,1,3,Nobel,83,5,F,NA,NA,NA
S07,2,63inches,140 pounds,No,l,2,3,12,No,10,3.8,Nobel,81,4,F,NA,NA,NA
S07,2,62inches,150 pounds,No,r,3,1,4,No,18,3.6,Nobel,69,3,F,NA,NA,NA
S07,1,62inches,135 pounds,No,r,2,1,18,No,2,3.3,Olympic,68,2,F,NA,NA,NA
S07,2,64inches,115 pounds,No,r,2,2,15,Yes,3,3.7,Olympic,67,2,F,NA,NA,NA
S07,2,66inches,160 pounds,No,r,2,1,5,No,3,3.6,Olympic,78,5,F,NA,NA,NA
S07,1,67inches,190 pounds,Regular,l,0,1,18,No,15,2.8,Olympic,71,0,M,NA,NA,NA
S07,1,64inches,140 pounds,No,r,2,1,7,No,4,3.5,Olympic,78,4,F,NA,NA,NA
S07,1,62inches,125 pounds,No,r,1,1,2,No,4,3.13,Olympic,79,2,F,NA,NA,NA
S07,2,NAinches,150 pounds,No,r,0,1,0,No,7,3.81,Nobel,65,0,M,NA,NA,NA
S07,3,65inches,140 pounds,No,r,2,1,8,No,10,3.85,Nobel,41,2,F,NA,NA,NA
